,Title,Description,PubDate,Categorie
21,"EN DIRECT. Le Talk - Guerre en Ukraine : le ""sommet des alliés"" servira-t-il à quelque chose ? Faut-il durcir la justice pénale des mineurs ? Venez poser vos questions en direct !","Au programme du Talk de franceinfo du jeudi 27 mars, la visite en France du président ukrainien, son entretien fleuve diffusé sur franceinfo et la tenue d'un sommet des alliés de l'Ukraine, puis la proposition de loi visant à restaurer l'autorité de la justice à l'égard des mineurs délinquants et de leurs parents.","Thu, 27 Mar 2025 16:46:53 +0100",societe
22,"EN DIRECT. Le Talk - Guerre en Ukraine : le ""sommet des alliés"" servira-t-il à quelque chose ? Fallait-il durcir la justice pénale des mineurs ? Venez poser vos questions en direct !","Au programme du Talk de franceinfo du jeudi 27 mars, la visite en France du président ukrainien, son entretien fleuve diffusé sur franceinfo et la tenue d'un sommet des alliés de l'Ukraine, puis la proposition de loi visant à restaurer l'autorité de la justice à l'égard des mineurs délinquants et de leurs parents.","Thu, 27 Mar 2025 16:54:50 +0100",societe
23,Procès de Gérard Depardieu : le parquet requiert 18 mois de prison avec sursis et 20 000 euros d'amende contre l'acteur,"L'acteur est jugé pour des agressions sexuelles sur deux femmes lors du tournage du film ""Les Volets verts"", en 2021.","Thu, 27 Mar 2025 16:57:48 +0100",societe
24,"EN DIRECT. Le Talk - Guerre en Ukraine : le ""sommet des alliés"" servira-t-il à quelque chose ? Faut-il vraiment durcir la justice pénale des mineurs ? Venez poser vos questions en direct !","Au programme du Talk de franceinfo du jeudi 27 mars, la visite en France du président ukrainien, son entretien fleuve diffusé sur franceinfo et la tenue d'un sommet des alliés de l'Ukraine, puis la proposition de loi visant à restaurer l'autorité de la justice à l'égard des mineurs délinquants et de leurs parents.","Thu, 27 Mar 2025 16:57:05 +0100",societe
25,Procès de Gérard Depardieu : le parquet requiert 18 mois de prison avec sursis et 20 000 euros d'amende contre l'acteur,"L'acteur est jugé pour des agressions sexuelles sur deux femmes lors du tournage du film ""Les Volets verts"", en 2021.","Thu, 27 Mar 2025 17:42:39 +0100",societe
26,"H&M veut générer des ""répliques numériques"" de mannequins grâce à l'intelligence artificielle pour des campagnes publicitaires","Selon l'entreprise suédoise de prêt-à-porter, les mannequins seront propriétaires des droits de leurs ""jumeaux numériques"", a révélé le site internet britannique The Business of Fashion.","Thu, 27 Mar 2025 18:22:01 +0100",societe
27,Procès de Gérard Depardieu : le parquet requiert 18 mois de prison avec sursis et 20 000 euros d'amende contre l'acteur,"L'acteur est jugé pour des agressions sexuelles sur deux femmes lors du tournage du film ""Les Volets verts"", en 2021.","Thu, 27 Mar 2025 18:39:07 +0100",societe
28,Procès de Gérard Depardieu : le parquet requiert 18 mois de prison avec sursis et 20 000 euros d'amende contre l'acteur,"L'acteur est jugé pour des agressions sexuelles sur deux femmes lors du tournage du film ""Les Volets verts"", en 2021.","Thu, 27 Mar 2025 19:05:08 +0100",societe
29,"EN REPLAY. Le Talk - Guerre en Ukraine : le ""sommet des alliés"" servira-t-il à quelque chose ? Faut-il vraiment durcir la justice pénale des mineurs ?","Au programme du Talk de franceinfo du jeudi 27 mars, la visite en France du président ukrainien, son entretien fleuve diffusé sur franceinfo et la tenue d'un sommet des alliés de l'Ukraine, puis la proposition de loi visant à restaurer l'autorité de la justice à l'égard des mineurs délinquants et de leurs parents.","Thu, 27 Mar 2025 19:08:05 +0100",societe
30,Procès de Gérard Depardieu : le parquet requiert 18 mois de prison avec sursis et 20 000 euros d'amende contre l'acteur,"Il est accusé d'agressions sexuelles sur deux femmes lors du tournage du film ""Les Volets verts"", en 2021. Le jugement sera rendu le 13 mai.","Thu, 27 Mar 2025 19:05:08 +0100",societe
